PRCE_REG_YMD,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,AVRG_PRCE,WSRT_EXMN_SE_CODE,EXMN_SE_NM,GRAD_CODE,GRAD_NM,DSBN_STEP_ACTO_UNIT_NM,DSBN_STEP_ACTO_WT,TDY_LWET_PRCE,TDY_MAX_PRCE,ETL_LDG_DT
20240201,111,쌀,01,20kg,56262.000,01,소매,04,상품,kg,20,49800.000,63900.000,20240216065820
20240201,111,쌀,01,20kg,49500.000,02,도매,04,상품,kg,20,46000.000,51600.000,20240216065820
20240201,111,쌀,01,20kg,46933.333,02,도매,05,중품,kg,20,43700.000,50100.000,20240216065820
20240201,111,쌀,10,10kg,29021.200,01,소매,04,상품,kg,10,25300.000,35980.000,20240216065820
20240201,111,쌀,KA,쌀(전체),29021.200,01,소매,04,상품,kg,10,25300.000,35980.000,20240216065820
20240201,111,쌀,KA,쌀(전체),56262.000,01,소매,04,상품,kg,20,49800.000,63900.000,20240216065820
20240201,111,쌀,KA,쌀(전체),49500.000,02,도매,04,상품,kg,20,46000.000,51600.000,20240216065820
20240201,111,쌀,KA,쌀(전체),46933.333,02,도매,05,중품,kg,20,43700.000,50100.000,20240216065820
20240201,112,찹쌀,01,일반계,3822.800,01,소매,04,상품,kg,1,3000.000,4930.000,20240216065820
20240201,112,찹쌀,01,일반계,107200.000,02,도매,04,상품,kg,40,102000.000,113000.000,20240216065820
20240201,112,찹쌀,01,일반계,98920.000,02,도매,05,중품,kg,40,105000.000,98200.000,20240216065820
20240201,112,찹쌀,KA,찹쌀(전체),3822.800,01,소매,04,상품,kg,1,3000.000,4930.000,20240216065820
20240201,112,찹쌀,KA,찹쌀(전체),107200.000,02,도매,04,상품,kg,40,102000.000,113000.000,20240216065820
20240201,112,찹쌀,KA,찹쌀(전체),98920.000,02,도매,05,중품,kg,40,105000.000,98200.000,20240216065820
20240201,141,콩,01,흰 콩(국산),5207.660,01,소매,04,상품,g,500,3500.000,7550.000,20240216065820
20240201,141,콩,01,흰 콩(국산),217600.000,02,도매,04,상품,kg,40,215000.000,220000.000,20240216065820
20240201,141,콩,01,흰 콩(국산),197500.000,02,도매,05,중품,kg,40,180000.000,205000.000,20240216065820
20240201,141,콩,03,흰 콩(수입),126800.000,02,도매,05,중품,kg,35,121000.000,130000.000,20240216065820
20240201,141,콩,KA,콩(전체),5207.660,01,소매,04,상품,g,500,3500.000,7550.000,20240216065820
20240201,141,콩,KA,콩(전체),217600.000,02,도매,04,상품,kg,40,215000.000,220000.000,20240216065820
20240201,141,콩,KA,콩(전체),126800.000,02,도매,05,중품,kg,35,121000.000,130000.000,20240216065820
20240201,141,콩,KA,콩(전체),197500.000,02,도매,05,중품,kg,40,180000.000,205000.000,20240216065820
20240201,142,팥,00,붉은 팥(국산),8825.800,01,소매,04,상품,g,500,10000.000,9900.000,20240216065820
20240201,142,팥,00,붉은 팥(국산),462400.000,02,도매,04,상품,kg,40,424000.000,500000.000,20240216065820
20240201,142,팥,00,붉은 팥(국산),447333.333,02,도매,05,중품,kg,40,410000.000,470000.000,20240216065820
20240201,142,팥,01,붉은 팥(수입),279800.000,02,도매,05,중품,kg,40,266000.000,295000.000,20240216065820
20240201,142,팥,KA,팥(전체),8825.800,01,소매,04,상품,g,500,10000.000,9900.000,20240216065820
20240201,142,팥,KA,팥(전체),462400.000,02,도매,04,상품,kg,40,424000.000,500000.000,20240216065820
20240201,142,팥,KA,팥(전체),342625.000,02,도매,05,중품,kg,40,266000.000,470000.000,20240216065820
20240201,143,녹두,00,국산,11684.444,01,소매,04,상품,g,500,10000.000,9500.000,20240216065820
20240201,143,녹두,00,국산,521000.000,02,도매,04,상품,kg,40,460000.000,577000.000,20240216065820
20240201,143,녹두,01,수입,226800.000,02,도매,05,중품,kg,40,166000.000,269000.000,20240216065820
20240201,143,녹두,KA,녹두(전체),11684.444,01,소매,04,상품,g,500,10000.000,9500.000,20240216065820
20240201,143,녹두,KA,녹두(전체),521000.000,02,도매,04,상품,kg,40,460000.000,577000.000,20240216065820
20240201,143,녹두,KA,녹두(전체),226800.000,02,도매,05,중품,kg,40,166000.000,269000.000,20240216065820
20240201,144,메밀,01,메밀(수입),3766.667,02,도매,05,중품,kg,1,3100.000,4400.000,20240216065820
20240201,144,메밀,KA,메밀(전체),3766.667,02,도매,05,중품,kg,1,3100.000,4400.000,20240216065820
20240201,151,고구마,00,밤,5097.347,01,소매,04,상품,kg,1,2500.000,6290.000,20240216065820
20240201,151,고구마,00,밤,4381.538,01,소매,05,중품,kg,1,4000.000,5000.000,20240216065820
20240201,151,고구마,00,밤,35140.000,02,도매,04,상품,kg,10,33000.000,37300.000,20240216065820
20240201,151,고구마,00,밤,28820.000,02,도매,05,중품,kg,10,27800.000,30000.000,20240216065820
20240201,151,고구마,KA,고구마(전체),5097.347,01,소매,04,상품,kg,1,2500.000,6290.000,20240216065820
20240201,151,고구마,KA,고구마(전체),4381.538,01,소매,05,중품,kg,1,4000.000,5000.000,20240216065820
20240201,151,고구마,KA,고구마(전체),35140.000,02,도매,04,상품,kg,10,33000.000,37300.000,20240216065820
20240201,151,고구마,KA,고구마(전체),28820.000,02,도매,05,중품,kg,10,27800.000,30000.000,20240216065820
20240201,152,감자,01,수미(노지),374.611,01,소매,04,상품,g,100,250.000,480.000,20240216065820
20240201,152,감자,01,수미(노지),312.778,01,소매,05,중품,g,100,250.000,466.000,20240216065820
20240201,152,감자,01,수미(노지),41740.000,02,도매,04,상품,kg,20,40000.000,43100.000,20240216065820
20240201,152,감자,01,수미(노지),36180.000,02,도매,05,중품,kg,20,33200.000,38000.000,20240216065820
20240201,152,감자,02,대지마,650.185,01,소매,04,상품,g,100,299.000,996.000,20240216065820
20240201,152,감자,02,대지마,56600.000,02,도매,04,상품,kg,20,56600.000,56600.000,20240216065820
20240201,152,감자,02,대지마,52600.000,02,도매,05,중품,kg,20,51600.000,53600.000,20240216065820
20240201,152,감자,04,수미(시설),510.625,01,소매,04,상품,g,100,498.000,599.000,20240216065820
20240201,152,감자,KA,감자(전체),535.528,01,소매,04,상품,g,100,250.000,996.000,20240216065820
20240201,152,감자,KA,감자(전체),312.778,01,소매,05,중품,g,100,250.000,466.000,20240216065820
20240201,152,감자,KA,감자(전체),45985.714,02,도매,04,상품,kg,20,40000.000,56600.000,20240216065820
20240201,152,감자,KA,감자(전체),40871.429,02,도매,05,중품,kg,20,33200.000,53600.000,20240216065820
20240201,211,배추,06,월동,3036.939,01,소매,04,상품,포기,1,1660.000,5000.000,20240216065820
20240201,211,배추,06,월동,8540.000,02,도매,04,상품,kg(그물망 3포기),10,8000.000,9200.000,20240216065820
20240201,211,배추,06,월동,6992.000,02,도매,05,중품,kg(그물망 3포기),10,6500.000,7800.000,20240216065820
20240201,211,배추,KA,배추(전체),3036.939,01,소매,04,상품,포기,1,1660.000,5000.000,20240216065820
20240201,211,배추,KA,배추(전체),8540.000,02,도매,04,상품,kg(그물망 3포기),10,8000.000,9200.000,20240216065820
20240201,211,배추,KA,배추(전체),6992.000,02,도매,05,중품,kg(그물망 3포기),10,6500.000,7800.000,20240216065820
20240201,212,양배추,00,양배추,3533.077,01,소매,04,상품,포기,1,1500.000,4330.000,20240216065820
20240201,212,양배추,00,양배추,3292.162,01,소매,05,중품,포기,1,2000.000,3990.000,20240216065820
20240201,212,양배추,00,양배추,7128.000,02,도매,04,상품,kg,8,6620.000,8660.000,20240216065820
20240201,212,양배추,00,양배추,5214.000,02,도매,05,중품,kg,8,3750.000,6660.000,20240216065820
