ÁöÁ¡,ÁöÁ¡¸í,ÀÏ½Ã,1.5M Æò±Õ ½Àµµ(%),10CM ÀÏ Åä¾ç¼öºÐ(%),1.5M Æò±Õ ±â¿Â(¡ÆC),Æò±Õ Áö¸é¿Âµµ(¡ÆC)
974,´ë°î,2022-03-01,62,,8.1,8.9
974,´ë°î,2022-03-02,40,,5.4,8.7
974,´ë°î,2022-03-03,60,,4.1,8.2
974,´ë°î,2022-03-04,70,6,6.6,6.7
974,´ë°î,2022-03-05,37,6,6.8,7.7
974,´ë°î,2022-03-06,33,6,3.3,5.4
974,´ë°î,2022-03-07,56,7,3.6,5.9
974,´ë°î,2022-03-08,59,7,4.4,6.9
974,´ë°î,2022-03-09,57,7,5.8,7.6
974,´ë°î,2022-03-10,69,7,6.7,8.9
974,´ë°î,2022-03-11,82,7,9.4,10.9
974,´ë°î,2022-03-12,79,8,13.7,14.2
974,´ë°î,2022-03-13,90,8,15.3,15
974,´ë°î,2022-03-14,90,12,11.7,13.1
974,´ë°î,2022-03-15,65,12,9,11.9
974,´ë°î,2022-03-16,63,11,10.5,13.6
974,´ë°î,2022-03-17,72,11,10.2,10.4
974,´ë°î,2022-03-18,81,20,7.2,8.8
974,´ë°î,2022-03-19,83,19,4.4,6.9
974,´ë°î,2022-03-20,68,17,5.7,7.8
974,´ë°î,2022-03-21,54,16,7.4,9
974,´ë°î,2022-03-22,54,15,8.5,11
974,´ë°î,2022-03-23,65,15,6.2,7.8
974,´ë°î,2022-03-24,65,14,7.3,10.6
974,´ë°î,2022-03-25,77,14,11.5,11.9
974,´ë°î,2022-03-26,80,24,14,15.4
974,´ë°î,2022-03-27,50,18,13,13.9
974,´ë°î,2022-03-28,48,17,8,11
974,´ë°î,2022-03-29,64,16,8.5,12.9
974,´ë°î,2022-03-30,81,15,11.3,14.5
974,´ë°î,2022-03-31,81,15,12.4,15.5
974,´ë°î,2022-04-01,65,16,8.9,13.6
974,´ë°î,2022-04-02,68,15,8.6,14.6
974,´ë°î,2022-04-03,65,14,8.6,14.2
974,´ë°î,2022-04-04,68,14,9.9,15
974,´ë°î,2022-04-05,58,14,10.9,14
974,´ë°î,2022-04-06,56,13,11.6,16
974,´ë°î,2022-04-07,54,13,11.7,14.8
974,´ë°î,2022-04-08,58,13,12,16.6
974,´ë°î,2022-04-09,64,12,13.4,16.7
974,´ë°î,2022-04-10,70,12,14.9,18.4
974,´ë°î,2022-04-11,83,12,17,20.6
974,´ë°î,2022-04-12,79,12,19.4,22.6
