PRCE_REG_YMD,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,AVRG_PRCE,WSRT_EXMN_SE_CODE,EXMN_SE_NM,GRAD_CODE,GRAD_NM,DSBN_STEP_ACTO_UNIT_NM,DSBN_STEP_ACTO_WT,TDY_LWET_PRCE,TDY_MAX_PRCE,ETL_LDG_DT
20230901,111,쌀,01,20kg,54365.600,01,소매,04,상품,kg,20,47800.000,59000.000,20230916051149
20230901,111,쌀,01,20kg,50440.000,02,도매,04,상품,kg,20,49600.000,51400.000,20230916051149
20230901,111,쌀,01,20kg,46975.000,02,도매,05,중품,kg,20,43600.000,49600.000,20230916051149
20230901,111,쌀,10,10kg,28803.673,01,소매,04,상품,kg,10,24500.000,32200.000,20230916051149
20230901,111,쌀,KA,쌀(전체),28803.673,01,소매,04,상품,kg,10,24500.000,32200.000,20230916051149
20230901,111,쌀,KA,쌀(전체),54365.600,01,소매,04,상품,kg,20,47800.000,59000.000,20230916051149
20230901,111,쌀,KA,쌀(전체),50440.000,02,도매,04,상품,kg,20,49600.000,51400.000,20230916051149
20230901,111,쌀,KA,쌀(전체),46975.000,02,도매,05,중품,kg,20,43600.000,49600.000,20230916051149
20230901,112,찹쌀,01,일반계,3652.800,01,소매,04,상품,kg,1,2250.000,5590.000,20230916051149
20230901,112,찹쌀,01,일반계,101640.000,02,도매,04,상품,kg,40,100000.000,99200.000,20230916051149
20230901,112,찹쌀,01,일반계,94040.000,02,도매,05,중품,kg,40,91300.000,96600.000,20230916051149
20230901,112,찹쌀,KA,찹쌀(전체),3652.800,01,소매,04,상품,kg,1,2250.000,5590.000,20230916051149
20230901,112,찹쌀,KA,찹쌀(전체),101640.000,02,도매,04,상품,kg,40,100000.000,99200.000,20230916051149
20230901,112,찹쌀,KA,찹쌀(전체),94040.000,02,도매,05,중품,kg,40,91300.000,96600.000,20230916051149
20230901,141,콩,01,흰 콩(국산),5180.851,01,소매,04,상품,g,500,3330.000,7560.000,20230916051149
20230901,141,콩,01,흰 콩(국산),216600.000,02,도매,04,상품,kg,40,210000.000,227000.000,20230916051149
20230901,141,콩,01,흰 콩(국산),200500.000,02,도매,05,중품,kg,40,180000.000,215000.000,20230916051149
20230901,141,콩,03,흰 콩(수입),126400.000,02,도매,05,중품,kg,35,115000.000,134000.000,20230916051149
20230901,141,콩,KA,콩(전체),5180.851,01,소매,04,상품,g,500,3330.000,7560.000,20230916051149
20230901,141,콩,KA,콩(전체),216600.000,02,도매,04,상품,kg,40,210000.000,227000.000,20230916051149
20230901,141,콩,KA,콩(전체),126400.000,02,도매,05,중품,kg,35,115000.000,134000.000,20230916051149
20230901,141,콩,KA,콩(전체),200500.000,02,도매,05,중품,kg,40,180000.000,215000.000,20230916051149
20230901,142,팥,00,붉은 팥(국산),8026.600,01,소매,04,상품,g,500,11100.000,9800.000,20230916051149
20230901,142,팥,00,붉은 팥(국산),433200.000,02,도매,04,상품,kg,40,380000.000,470000.000,20230916051149
20230901,142,팥,00,붉은 팥(국산),415333.333,02,도매,05,중품,kg,40,396000.000,430000.000,20230916051149
20230901,142,팥,01,붉은 팥(수입),272600.000,02,도매,05,중품,kg,40,264000.000,278000.000,20230916051149
20230901,142,팥,KA,팥(전체),8026.600,01,소매,04,상품,g,500,11100.000,9800.000,20230916051149
20230901,142,팥,KA,팥(전체),433200.000,02,도매,04,상품,kg,40,380000.000,470000.000,20230916051149
20230901,142,팥,KA,팥(전체),326125.000,02,도매,05,중품,kg,40,264000.000,430000.000,20230916051149
