조회일자,품목코드,품목명,평년비율,전일비율,품종코드,도매일일가격,도매순가격,도매전일가격,도매전순가격,도매전년순가격,도매평년순가격,도매일일위기단계명,도매일일작형연속위기횟수,도매일일작형위기단계코드,도매순위기단계명,도매순작형위기단계코드,도매순작형연속위기횟수,도매월위기단계명,도매월작형위기단계코드,도매전일자,도매전순월,도매전순명,도매순월,도매순명,도매일자,소매일일가격,소매순가격,소매전일가격,소매전순가격,소매전년순가격,소매평년순가격,소매전일자,소매전순월,소매전순명,소매순월,소매전순월,소매일자
2020-12-25,1001,배추,-47.548,-7.552,1001,1059.333,1124.333,1139.333,1254,2940,2019,하락심각,4,1,하락심각,1,1,하락경계,2,2020-12-24,12,중순,12,하순,2020-12-25,2740,2796,2722,2895,4530.317,3278,2020-12-23,12,중순,12,하순,2020-12-24
2020-12-25,1101,무,1.101,5.24,1101,1377.8,1411.2,1305.6,1198,2414.6,1363,상승주의,2,5,상승주의,5,1,상승주의,5,2020-12-24,12,중순,12,하순,2020-12-25,1839,1866,1833,1796,3042.488,2031,2020-12-23,12,중순,12,하순,2020-12-24
2020-12-25,1207,건고추,55.164,0,1207,15656,15563,15656,15956,8596.66,10090,상승심각,91,7,상승심각,7,1,상승심각,7,2020-12-23,12,중순,12,하순,2020-12-24,21656,21656,21656,21656,12322.222,13400,2020-12-23,12,중순,12,하순,2020-12-24
2020-12-25,1209,마늘,6.647,0,12A9,6883.35,6883.35,6883.35,6883,4048.6,6454,상승주의,77,5,상승주의,5,1,상승주의,5,2020-12-23,12,중순,12,하순,2020-12-24,9600,9753,9600,9884,7284.259,9518,2020-12-23,12,중순,12,하순,2020-12-24
2020-12-25,1209,마늘,-13.321,0,1209,4854,4861.5,4854,4914,3320,5600,,0,,,,0,,,2020-12-23,12,중순,12,하순,2020-12-24,0,0,0,0,0,0,2020-12-23,,,,,2020-12-24
2020-12-25,1201,양파,45.557,-4.281,1201,1425,1420,1486,1290,784,979,상승주의,2,5,안정,4,1,상승주의,5,2020-12-24,12,중순,12,하순,2020-12-25,2384,2415,2432,2439,1487.643,1857,2020-12-23,12,중순,12,하순,2020-12-24
2020-12-25,1202,대파,2.146,-12.605,1202,1666,1783,1876,1912,1406,1631,안정,5,4,안정,4,1,안정,4,2020-12-24,12,중순,12,하순,2020-12-25,5031,5204,5198,4990,4374.878,4353,2020-12-23,12,중순,12,하순,2020-12-24
2020-12-26,1001,배추,-44.378,5.669,1001,1123,1124.333,1059.333,1254,2940,2019,하락심각,5,1,하락심각,1,1,하락경계,2,2020-12-25,12,중순,12,하순,2020-12-26,2740,2796,2722,2895,4530.317,3278,2020-12-23,12,중순,12,하순,2020-12-24
2020-12-26,1101,무,7.63,6.08,1101,1467,1411.2,1377.8,1198,2414.6,1363,상승주의,3,5,상승주의,5,1,상승주의,5,2020-12-25,12,중순,12,하순,2020-12-26,1839,1866,1833,1796,3042.488,2031,2020-12-23,12,중순,12,하순,2020-12-24
2020-12-26,1207,건고추,55.164,0,1207,15656,15563,15656,15956,8596.66,10090,상승심각,91,7,상승심각,7,1,상승심각,7,2020-12-23,12,중순,12,하순,2020-12-24,21656,21656,21656,21656,12322.222,13400,2020-12-23,12,중순,12,하순,2020-12-24
2020-12-26,1209,마늘,6.647,0,12A9,6883.35,6883.35,6883.35,6883,4048.6,6454,상승주의,77,5,상승주의,5,1,상승주의,5,2020-12-23,12,중순,12,하순,2020-12-24,9600,9753,9600,9884,7284.259,9518,2020-12-23,12,중순,12,하순,2020-12-24
